title	story	rule	source
迷霧拱門	"牆壁裡的一道拱門，被彌散的彩色霧靄填滿。

你可以選擇穿過拱門。將你的人偶從大宅移出並擲3枚骰子："	"骰數0：將你的人偶放在入口大廳。你失去了些東西。棄掉1張物品牌。

骰數1-2：你發生了某些變化。將你的人偶放在入口大廳，把你的人物屬性面板翻面，重置所有屬性到其初始值。

骰數3-4：將你的人偶放入任意一間有打開的門的房間。

骰數5-6：將你的人偶放入任意一間有打開的門的房間并抓一張物品牌。"	core
約拿的戲耍	"兩個小孩正拿着陀螺玩耍。一孩童說：“約拿，你要拋一趟嗎？”

約拿：“不，我只想自己玩！”。約拿手持陀螺大力擊在另一孩童頭上。在一下一下的猛擊間，兩名孩童逐漸消失。"	"若你持有“魔術方塊”，則丢弃這些卡牌，并抽回相同數目的“物品牌”。每丢弃1張卡牌，你的“神志”上升1個級別。

若你并未持有“魔術方塊”，則擲骰1粒，其點數即你受到的“精神損傷”。"	core
今夕是何年？	你跨過門后停了下來。你曾經到過這裡。多年前，還沒有出事時。看到了窗戶反射的影像，你的臉看起來如此的年輕。但是這次，你不會那么天真了。	"“神志”下降1個級別，“力量”和“知識”上升1個級別。

如果真相已被揭露，對立方必須讀出他們的開場與結尾的故事劇情。

如果真相尚未被揭露，則將本卡牌放在你面前，直到真相揭露。"	core
針灸	"房間里令人舒服的點着的蠟燭。一個穿着古樸白袍的長黑發女子向你溫和的微笑着。她拈起了一枚細如發線，長過手掌的針。針尖在燭光下映出一點白芒，如刺入你眼睛一般。

走到一間相鄰的，已被發現的房間中去，你可以選擇讓“神志”下降1個級別，或是以“力量”進行一次“能力考驗”："	"骰數0-2：“速度”和“力量”下降1個級別。

骰數3-4：“速度”和“力量”上升1個級別。

骰數大於等于5：“速度”、“力量”和“神志”上升1個級別。"	core
腳步聲	"地板吱吱作響，塵土激揚。一列清晰的腳印向你而來，在你面前停下並消失。

你需要擲骰1粒（如果你正好在“禮拜堂”，則需擲2粒），以決定后果。"	"骰數總和是4：你和離你最近的另一人物兩人的“力量”上升1個級別。

骰數總和是3：你的“力量”上升1個級別。但離你最近的另一人物的“神志”下降1個級別。

骰數總和是2：你的“神志”下降1個級別。

骰數總和是1：你的“速度”下降1個級別。

骰數總和是0：所有人物都需選擇一項“能力”，該“能力”下降1個級別。"	core
狂暴本質	"你身旁的牆壁，涌出大量粘液。

你需要以“速度”進行一次“能力考驗”。"	"骰數總和大于等于5：你順利逃脫，你的“速度”上升1個級別。

骰數總和是2至4：你被突如其來的劇變嚇到了。擲骰1粒，其點數即你受到的“精神損傷”。

骰數總和是0至1：你不小心觸碰到了這些惡心的粘液。擲骰1粒，其點數即你受到的“精神損傷”。再擲骰1粒，其點數即你受到的“肉體損傷”。"	core
鏡中影像	房中古老的大鏡中映着驚惶失措的你。忽然間你悟到鏡中的是另一時空的自己，而你發現可透過鏡傳還一件物品。你決定幫助鏡子那邊的你，于是你在鏡面上寫了：救命用！并將一件物品送往鏡的另一面。	"此卡牌只影響持有“物品牌”的人物。若抽到此牌的你并无“物品牌”，則將此牌傳給左方持有“物品牌”的玩家。若所有玩家都无“物品牌”，則丢弃此牌。

將你的1張“物品牌”放回物品牌叠洗混。你的“知識”上升1個級別。"	core
隱藏通道	一部分牆壁滑開，其后露出一條充滿霉味的通道。將“隱藏通道”標記放到這個房間。擲骰3粒決定“隱藏通道”通往何處。	"骰數总和是6：任何已放置的房間。

骰數总和是4至5：任何已放置的“樓上”房間。

骰數总和是2至3：任何已放置的“地面”房間。

骰數总和是0至1：任何已放置的“地下”房間。

將另一“隱藏通道”標記放到通道另一端的房間。之后任何人物皆可利用“隱藏通道”往返于兩個房間。你可以即時通過此通道到達對面的房間。"	core
墓土	"這房間布滿一層厚厚的灰塵。飛揚的塵土沾上你身，吸入你肺里。

你需以“力量”進行“能力考驗”。"	"骰數总和大於等于4：你將塵土掃除。你的“力量”上升1個級別。

骰數总和是0至3：你感到十分不適。你保留這張卡牌。保留這卡牌期間，你開始回合前，你即受到1點“肉體損傷”。只有當使用“物品牌”成功增加任何一項你的“能力”后，或你停留在“露臺”、“庭院”、“墓園”、“健身房”、“食品儲藏庫”、“天井”或“塔樓”后，你方可丢弃此牌。"	core
滴答... 滴答... 滴答...	這房間發出一些在你腦海中如針刺般的節奏聲音。	將“水滴”標記放到這房間上。任何人物在這房間內進行任何“能力考驗”時，將少擲1粒游戲骰（骰子數目最少仍有1粒）。襲擊不是“能力考驗”，不受“水滴”影響。	core
葬禮	"你見到一副棺材，躺在棺木中的正是你自己。

你需以“神志”進行“能力考驗”。"	"骰數总和大於等于4：眨眼間，棺材不見了。你的“神志”上升1個級別。

骰數总和是2至3：你深感困擾，你的“神志”下降1個級別。

骰數总和是0至1：你發現自己正躺在棺材中。奮力從棺材中爬起來時，你的“力量”及“神志”皆下降1個級別。若“墓園”或“地窖”已經出現，則你會處于“墓園”或“地窖”。若兩個地方皆在，則由你選擇其一。"	core
呢喃聲	"“吾在地下，埋于土中”。一個聲音在你耳邊響起，隨即消失無聲。

你需以“知識”進行“能力考驗”。"	"骰數总和大於等于4：你在地板下發現某樣東西。你可抽取1張“物品牌”。

骰數总和是0至3：你四處搜掘但一無所獲。"	core
窺視未來	你頹然倒在地上，迷糊間腦海中泛起一些似是未來影像。	"你可揀選執行下列兩項中的一項。

— 可窺看某一牌堆／房間中最上面3張。抽取3張卡牌和房間，在檢視后可改變其排列順序。將這些卡牌或房間放回至牌叠或房間叠的最頂處。

— 你可擲4顆，將此擲骰結果寫下。在以后的游戲中，你可以放棄一次擲骰，直接把寫下的數字作擲骰結果。若數字大于某事件 結果範圍。則作最大骰數處理。"	core
左手	你的手開始發癢，灼燒。痛苦難以忍受，你只能抓住手發出無計可施的尖叫。當你意識到你已經感覺不到任何東西時，尖叫夭折在你的喉嚨口。你打算動一下你的手指，而手卻自己向你的咽喉伸了過來	"選擇其中之一：

• 切掉你的手。“力量”下降1個級別，“神志”上升1個級別。

• 替換你的手。“力量”下降1個級別，抽取1張物品牌。

• 留下你的手。“神志”下降2個級別，“力量”上升1個級別，隨后移動到最近的一個擁有“預兆”圖案的房間并抽一張預兆牌。"	core
自由的呼喚	"外面！你必須到外面去！自由的飛翔吧！

所有身處“庭院”、“墓園”、“塔樓”、“露臺”、或擁有向外窗戶的房間的人物，皆需以“神志”進行“能力考驗”。"	"骰數总和大於等于3：你在窗臺上打住了這念頭。

骰數总和是0至2：你縱身跳落至“天井”。你身處“天井”，若“天井”尚未翻開，則從尚未放置的房間中找出“天井”并擺放，重新洗混未放置的房間。擲骰1粒，其點數即你受到的“肉體損傷”。

每個人物只需承受自己“能力考驗”的后果。"	core
旋轉牆壁	"一堵偽裝成牆壁的旋轉門。將“開關”標記放到這房間中一堵沒有“門扉”的牆壁上。若裝上旋轉門的另一邊沒有房間，則如探險般放置同一樓層的房間到這轉門的另一邊，你進入這新房間。若這樓層並無未放置的房間，則丟棄“開關”標記。

任何在旋轉門兩邊房間的人物，皆可嘗試使用旋轉門往返這兩個房間。人物需以“知識”進行“能力考驗”。"	"骰數总和大於等于3：人物找到旋轉門並成功通過它。

骰數总和是0至2：人物沒有找到旋轉門的開關。"	core
亡骸	"一對可憐的母子在地下仍互相擁抱着。將“骸骨”標記放到這房間上。你需要擲骰1粒，其點數即是你受到的“精神損傷”。

任何身處這房間的人物都可進行搜尋，以“神志”進行“能力考驗”。"	"骰數总和大於等于5：你找到這對母子的骸骨。你抽1張“物品牌”并丢弃“骸骨”標記。

骰數总和是0至4：你四處搜掘但一無所獲。擲骰1粒，其點數即你受到的“精神損傷”。

只有進行搜尋的人物才需承受行動的后果。"	core
機器里的鬼魂	"突如其來的響聲從電視里來。通過布滿雪花的圖像，你發現一個孩子的影像在大宅的某處玩耍。她停下了並轉向你，招呼你也來加入她。電視機重新暗了下去

你需以“神志”進行“能力考驗”。"	"骰數0-2：“力量”下降1個級別。將這張牌放在你面前。所有探險者每回合只能移動1格，持續到你的下一回合開始時，然后弃掉本卡牌。

骰數大於等于3：從房間板塊堆抓取1張屋頂樓層的板塊放入大宅并將你的人偶在其上。"	core
牆上霧靄	"牆壁上涌現不明的霧靄。霧靄中隱約藏有多個面孔，有人類的...亦有異類的。

所有身處“地下”的人物皆需要以“神志”進行“能力考驗”。"	"骰數总和大於等于4：那些面孔只是光影的錯覺，一切無恙。

骰數总和是1至3：你需擲骰1粒。若你身處的房間印有“事件（漩渦）”標記，則你共需擲骰2粒，其點數即人物所受到的“精神損傷”數。

骰數总和是0：你需擲骰1粒。若你身處的房間印有“事件（漩渦）”標記，則你共需擲骰3粒，其點數即人物所受到的“精神損傷”數。

每個人物只需承受自己“能力考驗”的后果。"	core
希望涌現	這里彌漫着祥和的氣息，這氣息抗拒着邪惡。	"將“祝福”標記放到這房間上。

所有人物（不包括“奸徒”）在這房間進行任何“能力考驗”時，可多擲1粒游戲骰（骰子數目最多8粒）。

進行襲擊不是“能力考驗”，不受到“祝福”。"	core
園丁	"你轉身看到一男子身穿園丁服飾，手持鐵鏟向你沖來。當鐵鏟到你面前時，卻什么也没發生，地上只留有污泥的腳印。

你需要以“知識”進行“能力考驗”。若你身處“庭院”，則少擲2粒骰子。"	"骰數总和大於等于4：你在泥土中發現某物，你可抽1張“物品牌”。

骰數总和是1至2：園丁突然重現在你面前，鐵鏟正敲向你頭部。這是一個4點“力量”的襲擊，由你右方的另一玩家擲4粒骰子。"	core
保險箱	"在一幅人像畫后，你發現了一個鎖上的保險箱。將“保險箱”標記放到這房間上。

任何身處房間的人物都可以“知識”進行“能力考驗”，來嘗試打開這保險箱。"	"骰數总和大於等于5：成功打開保險箱！抽2張“物品牌”并丢弃“保險箱”標記。

骰數总和是2至4：嘗試開啟時你扭傷了手腕。擲骰1粒，其點數即是你受到的“肉體損傷”。

骰數总和是0至1：你憤怒的用拳頭砸向保險箱，但并未對其造成任何傷害。擲骰2粒，其點數即是你受到的“肉體損傷”。"	core
亂葬堆	一堆石塊覆蓋着一具新鮮的尸體。太新鮮了。	將亂葬堆標志放在該房間。在真相被揭露后，當探險者離開這個房間時，尸體會爬起進行攻擊。該探險者右手邊的玩家，向該探險者發起一次“力量”為4的攻擊。如果該探險者以大於等于3點的優勢獲勝，則可弃掉亂葬堆標志物。	core
